Submission id,id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,IPAddress,Progress,Duration (in seconds),treatment,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Consent form ,wolf,Compg1,Advicegiveng1c1,advicetakeng1T1,advicetakeng1T2,spentg1t2,advicesourceg1T3,guesscorrectg1t3,Action1,Dnorm1,Snorm1,Comp2,Advicegiven2,Advicetaken2t1,Advicetaken2t2,spentg2t2,Advicesource2t3,guesscorrectg2t3,Action2,DNorm2 ,SNorm2,Comp3,Advicegiven3,Advicetakengt1,Advicetakeng3t2,spentg3t2,Advicesourceg3t3,guesscorrectg3t3,Action3,DNorm3,SNorm3,Lotteries,risktolerance,heart,explain1,advicegiven,advicegiven2,advicegiven3,g1gothumanadvice,g2gothumanadvice,g3gothumanadvice,chosehumanadviceg1,chosehumanadviceg2,chosehumanadviceg3
649f6938165ffc99dacdb5fd,597761dfd5ddf60001d14b20,APPROVED,2023-06-30T23:46:03.085000Z,2023-06-30T23:50:58.369000Z,2023-07-01T01:18:11.170000,2023-06-30T23:50:58.863843Z,296,CR7GYEJI,1803,37,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,6/30/23 18:46,6/30/23 18:50,47.32.30.116,100,281,t2,6/30/23 18:50,R_3sieNB4CUtwb5O8,44.6615,-90.179,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Yellow,Yellow,Yellow,100 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,0,50,50,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,0,0,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,0,Thoughts on morality of decision making scenarios.,,,,,,,0,0,0
649f6fb12c3e510fe3b2eeae,5a69794e31b87a0001c76690,APPROVED,2023-07-01T00:13:40.892000Z,2023-07-01T00:17:54.866000Z,2023-07-01T01:18:48.741000,2023-07-01T00:17:55.400473Z,254,CR7GYEJI,919,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,6/30/23 19:13,6/30/23 19:17,107.215.177.26,100,225,t2,6/30/23 19:17,R_2UYiUYzUPdhhffk,41.8777,-87.6376,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Blue,Blue,100 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,0,0,0,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,1,0,0,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,0,i have no idea.,,,,,,,0,0,0
649f5a18088c7ea87e5e373f,5acb457ce1546900019c3e6c,APPROVED,2023-06-30T22:41:32.858000Z,2023-06-30T22:50:21.198000Z,2023-06-30T23:41:08.429000,2023-06-30T22:50:23.762037Z,529,CR7GYEJI,1350,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,6/30/23 17:41,6/30/23 17:49,2.103.54.29,100,472,t2,6/30/23 17:49,R_3n2A7YIXMa85wid,50.7321,-3.53,EN,1,I give consent,Lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Yellow,Blue,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,75,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,45,25,50,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",3,0,Moral choices and if people think they are more moral than average or not,,,,,,,0,0,0
649f6a3ac9a2bedbfa760e04,5c28113978fad50001932f58,APPROVED,2023-06-30T23:50:25.166000Z,2023-06-30T23:54:23.161000Z,2023-07-01T01:18:11.741000,2023-06-30T23:54:23.665960Z,238,CR7GYEJI,6621,34,Male,White,United States,United States,United States,English,No,Full-Time,6/30/23 18:50,6/30/23 18:54,76.138.204.205,100,218,t2,6/30/23 18:54,R_DqJVfBKvvOHu4vL,44.9947,-123.0147,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Yellow,Yellow,Blue,50 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,0,50,50,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,0,50,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,0,How people make decisions.,,,,,,,0,0,0
649f584adc52fff5f25ea659,5de08b8e1fd5811035d41d99,APPROVED,2023-06-30T22:33:51.136000Z,2023-06-30T22:41:47.644000Z,2023-06-30T23:40:49.928000,2023-06-30T22:41:48.332170Z,477,CR7GYEJI,266,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,6/30/23 17:33,6/30/23 17:41,81.136.202.68,100,441,t2,6/30/23 17:41,R_3Rq3WFzHVKSnqQQ,52.1346,-0.4663,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Blue,none,50 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,20,10,0,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,20,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,0,"peoples generosity when it comes to financialn decisions, charity, and social pressure to be charitable ",,,,,,,0,0,0
649f70f178c92c0c4c15c7e8,5ed2f70cae98302901c31d4f,APPROVED,2023-07-01T00:19:03.403000Z,2023-07-01T00:27:24.982000Z,2023-07-01T01:18:50.736000,2023-07-01T00:27:25.504820Z,502,CR7GYEJI,2121,45,Female,Mixed,Indonesia,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,6/30/23 19:19,6/30/23 19:27,24.154.189.106,100,487,t2,6/30/23 19:27,R_10Ae987HE2zAPmP,40.8795,-79.93,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Blue,none,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,80,100,100,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,61,0,50,"Gamble 4: Event A, Payoff: 34 tokens; Event B, Payoff: - 2 tokens",4,0,social justice,,,,,,,0,0,0
64a03436eff7f8b4d1764882,601948b0dc1e1f01728fda05,AWAITING REVIEW,2023-07-01T14:12:06.127000Z,2023-07-01T14:20:39.208000Z,,2023-07-01T14:20:39.728245Z,514,CR7GYEJI,386,47,Female,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED,7/1/23 9:12,7/1/23 9:20,90.77.131.151,100,499,t2,7/1/23 9:20,R_2uOJYr7I2TtcVep,43.4611,-3.8021,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Yellow,Yellow,Yellow,100 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,61,41,50,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,40,40,51,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,0,How do I manage the economy,,,,,,,0,0,0
649f59be721a6827fb848b89,6035324792fc22d2d8ea435b,AWAITING REVIEW,2023-06-30T22:40:20.586000Z,2023-06-30T22:51:53.501000Z,,2023-06-30T22:51:54.548364Z,693,CR7GYEJI,126,22,Male,Asian,South Africa,South Africa,South Africa,English,Yes,Other,6/30/23 17:40,6/30/23 17:51,41.198.134.163,100,670,t2,6/30/23 17:51,R_vlzw80MisyJFgch,-26.3811,27.8376,EN,1,I give consent,Lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Yellow,Yellow,Yellow,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,50,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,0,Moral decisions regarding money where one player's gain is the other's loss.,,,,,,,0,0,0
649f5896448989860da687e8,603aa525b369cb6e1d0ad95c,APPROVED,2023-06-30T22:35:02.655000Z,2023-06-30T22:44:40.390000Z,2023-06-30T23:40:52.293000,2023-06-30T22:44:40.922214Z,578,CR7GYEJI,131,27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,6/30/23 17:35,6/30/23 17:44,89.115.62.39,100,569,t2,6/30/23 17:44,R_2tygEThe7VVQfGe,38.731,-9.1373,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Yellow,Blue,Yellow,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,20,100,1,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,18,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",5,0,choices,,,,,,,0,0,0
649f59187cd75ca66a7a8876,60d4f5e91d82796323d4781b,AWAITING REVIEW,2023-06-30T22:37:12.426000Z,2023-06-30T22:58:06.755000Z,,2023-06-30T22:58:07.749380Z,1255,CR7GYEJI,211,24,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED,6/30/23 17:37,6/30/23 17:56,41.116.51.181,100,1160,t2,6/30/23 17:56,R_25Lu13eiGbHaMpj,-25.7599,28.2604,EN,0.899999976,I give consent,Lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Blue,Blue,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,100,100,100,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,50,"Gamble 4: Event A, Payoff: 34 tokens; Event B, Payoff: - 2 tokens",4,0,ethical behaviors,,,,,,,0,0,0
649f6edaaa41bd90f1e035a8,60fdd466763872a6e5135b7c,APPROVED,2023-07-01T00:10:06.235000Z,2023-07-01T00:16:18.703000Z,2023-07-01T01:18:15.735000,2023-07-01T00:16:19.390885Z,373,CR7GYEJI,767,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,6/30/23 19:10,6/30/23 19:15,107.77.195.118,100,345,t2,6/30/23 19:15,R_2Yoj5nPAmJg4Bm3,42.4652,-83.3713,EN,1,I give consent,lion,50 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,Blue,Blue,Blue,125 Tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,50,50,80 tokens,,,"Chatbot advice, zero tokens for no advice",0,,,50,10,50,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",5,0,guessing,,,,,,,0,0,0
